ruc,razon_social,segmento,primera_fecha,ultima_fecha,meses_activo,estado,activo_M_Apr2026,patrimonio_M_Apr2026,cartera_M_Apr2026,depositos_M_Apr2026,capitalizacion_pct,morosidad_pct,cobertura_pct,roa_pct,roe_pct,nim_pct,liquidez_ampliada_pct,eficiencia_op_pct,apalancamiento,intermediacion,sc_C,sc_A,sc_M,sc_E,sc_L,camel,rating_camel
1390013678001,COOPERATIVA DE AHORRO Y CREDITO 15 DE ABRIL LTDA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,135.04,14.3,80.75,115.65,10.59,12.04,99.71,0.06,0.61,1.52,30.93,1.69,8.44,69.82,3.0,4.5,1.0,3.0,1.0,2.675,ADECUADO
1790093204001,COOPERATIVA DE AHORRO Y CREDITO 23 DE JULIO LIMITADA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,450.03,49.76,268.67,381.55,11.06,9.46,114.56,0.11,1.03,1.82,35.33,1.39,8.03,70.41,3.0,3.5,1.0,3.0,1.0,2.425,BUENO
1790567699001,COOPERATIVA DE AHORRO Y CREDITO 29 DE OCTUBRE LTDA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,1121.07,98.48,761.38,994.38,8.78,11.52,101.24,0.02,0.22,1.71,24.86,0.74,10.38,76.57,4.0,4.0,1.0,3.0,2.0,2.95,ADECUADO
0590041920001,COOPERATIVA DE AHORRO Y CREDITO 9 DE OCTUBRE LTDA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,128.43,15.62,76.05,101.39,12.17,12.85,100.74,0.13,1.09,1.94,40.59,1.32,7.21,75.01,2.0,4.0,1.0,3.0,1.0,2.3,BUENO
0190087603001,COOPERATIVA DE AHORRO Y CREDITO ALFONSO JARAMILLO LEON CAJA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,178.58,15.76,117.57,151.89,8.82,9.81,84.87,0.06,0.66,1.45,27.73,1.37,10.33,77.41,4.0,4.0,1.0,3.0,1.0,2.8,ADECUADO
1790501469001,COOPERATIVA DE AHORRO Y CREDITO ALIANZA DEL VALLE LIMITADA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,1585.66,151.92,968.76,1363.53,9.58,8.07,102.75,0.0,0.01,0.32,31.98,0.78,9.44,71.05,3.0,3.5,1.0,3.0,1.0,2.425,BUENO
1891709591001,COOPERATIVA DE AHORRO Y CREDITO AMBATO LTDA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,489.55,47.6,252.92,421.05,9.72,8.95,121.22,0.07,0.74,1.13,47.27,0.96,9.28,60.07,3.0,3.5,1.0,3.0,1.0,2.425,BUENO
1790325083001,COOPERATIVA DE AHORRO Y CREDITO ANDALUCIA LIMITADA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,750.27,70.71,388.89,626.46,9.42,8.4,107.84,0.03,0.27,1.13,31.91,0.79,9.61,62.08,3.0,3.5,1.0,3.0,1.0,2.425,BUENO
1090033456001,COOPERATIVA DE AHORRO Y CREDITO ATUNTAQUI LIMITADA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,526.88,41.8,342.36,441.77,7.93,7.5,104.64,0.14,1.75,1.65,31.86,0.95,11.59,77.5,4.0,3.5,1.0,3.0,1.0,2.675,ADECUADO
1390001920001,COOPERATIVA DE AHORRO Y CREDITO CALCETA LTDA,SEGMENTO 1,2015-02-28,2026-04-30,135,ACTIVA,118.04,17.12,83.88,97.26,14.5,13.68,47.0,0.26,1.77,2.0,19.19,1.66,5.88,86.24,2.0,5.0,1.0,3.0,3.0,2.85,ADECUADO
